>PF3D7_0411300.1-p1  gene_product=golgin subfamily A member 6-like protein, putative 
>PF3D7_1108600.1-p1  gene_product=endoplasmic reticulum-resident calcium binding protein 
>PF3D7_1123500.1-p1  gene_product=golgi protein 2 
>PF3D7_1124000.1-p1  gene_product=endoplasmic reticulum oxidoreductin, putative 
>PF3D7_1320000.1-p1  gene_product=golgi protein 1 
>PF3D7_1344200.1-p1  gene_product=endoplasmic reticulum chaperone GRP170 
>PF3D7_1458900.1-p1  gene_product=golgi apparatus membrane protein TVP23, putative 
