>PF3D7_1309600.1-p1  gene_product=ribosomal RNA methyltransferase, putative 
>PF3D7_1310900.1-p1  gene_product=ribosomal protein S15, mitochondrial, putative 
>PF3D7_1312300.1-p1  gene_product=ribosomal protein S35, mitochondrial, putative 
>PF3D7_1323100.1-p1  gene_product=60S ribosomal protein L6, putative 
>PF3D7_1331800.1-p1  gene_product=60S ribosomal protein L23, putative 
>PF3D7_1338200.1-p1  gene_product=60S ribosomal protein L6, putative 
>PF3D7_1339500.1-p1  gene_product=ribosomal protein L49, mitochondrial, putative 
>PF3D7_1341300.1-p1  gene_product=60S ribosomal protein L18-2, putative 
>PF3D7_1351400.1-p1  gene_product=60S ribosomal protein L17, putative 
>PF3D7_1357600.1-p1  gene_product=ribosomal protein L44, putative 
>PF3D7_1363300.1-p1  gene_product=50S ribosomal protein L9, mitochondrial, putative 
>PF3D7_1365100.1-p1  gene_product=ribosomal protein S17, mitochondrial 
>PF3D7_1365900.1-p1  gene_product=ubiquitin-60S ribosomal protein L40 
>PF3D7_1402500.1-p1  gene_product=ribosomal protein S27a, putative 
>PF3D7_1404400.1-p1  gene_product=ribosomal protein L16, mitochondrial, putative 
>PF3D7_1413400.1-p1  gene_product=30S ribosomal protein S9, putative 
>PF3D7_1415800.1-p1  gene_product=ribosomal RNA small subunit methyltransferase A1 
>PF3D7_1421200.1-p1  gene_product=40S ribosomal protein S25 
>PF3D7_1422100.1-p1  gene_product=ribosomal protein L21, mitochondrial, putative 
>PF3D7_1424100.1-p1  gene_product=60S ribosomal protein L5, putative 
>PF3D7_1426000.1-p1  gene_product=60S ribosomal protein L21 
>PF3D7_1429100.1-p1  gene_product=ribosomal protein L15, apicoplast, putative 
>PF3D7_1429700.1-p1  gene_product=ribosomal protein L15, mitochondrial, putative 
>PF3D7_1431000.1-p1  gene_product=ribosomal protein L17, mitochondrial, putative 
>PF3D7_1445300.1-p1  gene_product=ribosomal protein S29, mitochondrial, putative 
>PF3D7_1447300.1-p1  gene_product=ribosomal protein S14, mitochondrial, putative 
>PF3D7_1454600.1-p1  gene_product=ribosomal protein S11, mitochondrial, putative 
>PF3D7_1456600.1-p1  gene_product=ribosomal protein L28, mitochondrial, putative 
>PF3D7_1460300.1-p1  gene_product=60S ribosomal protein L29, putative 
>PF3D7_1460900.2-p1  gene_product=ribosomal protein S10, apicoplast, putative 
>PF3D7_1461300.1-p1  gene_product=40S ribosomal protein S28e, putative 
>PF3D7_1465900.1-p1  gene_product=40S ribosomal protein S3 
>PF3D7_1467400.1-p1  gene_product=50S ribosomal protein L22, apicoplast, putative 
>PF3D7_1474100.1-p1  gene_product=ribosomal protein L20, mitochondrial, putative 
>PF3D7_API01500.1-p1  gene_product=apicoplast ribosomal protein L2 
>PF3D7_API01800.1-p1  gene_product=apicoplast ribosomal protein L16 
>PF3D7_API02300.1-p1  gene_product=apicoplast ribosomal protein S5 
>PF3D7_API02700.1-p1  gene_product=apicoplast ribosomal protein S12 
>PF3D7_API03500.1-p1  gene_product=apicoplast ribosomal protein L11, putative 
>PF3D7_API04100.1-p1  gene_product=30S ribosomal protein S2, putative 
